datahora,station,year,week,t_mean,precip_sum
2019-05-20,SIMULADA,2019,21,23.146921550095712,15.708013037669211
2019-05-27,SIMULADA,2019,22,23.635741050768182,14.952337405402037
2019-06-03,SIMULADA,2019,23,24.106805425856702,22.975215678697456
2019-06-10,SIMULADA,2019,24,23.63345996363195,33.021704274213945
2019-06-17,SIMULADA,2019,25,23.446386690696244,9.785374767725623
2019-06-24,SIMULADA,2019,26,25.464178140940703,19.829377569521714
2019-07-01,SIMULADA,2019,27,24.683799624781848,28.06124505164299
2019-07-08,SIMULADA,2019,28,21.21069706665242,4.7975200801278675
2019-07-15,SIMULADA,2019,29,25.9846659901677,40.31565725641133
2019-07-22,SIMULADA,2019,30,23.158399006218904,4.457896811130638
2019-07-29,SIMULADA,2019,31,22.642949067616648,52.06063609051708
2019-08-05,SIMULADA,2019,32,22.16875188026886,20.203046139251057
2019-08-12,SIMULADA,2019,33,14.587738912419177,18.571877936032138
2019-08-19,SIMULADA,2019,34,18.04816237749255,31.2599841493744
2019-08-26,SIMULADA,2019,35,30.322989538069805,6.27775118516766
2019-09-02,SIMULADA,2019,36,25.38814041957071,13.928859021483312
2019-09-09,SIMULADA,2019,37,19.788799191924294,29.69120416407072
2019-09-16,SIMULADA,2019,38,20.347025733263276,51.776875772609365
2019-09-23,SIMULADA,2019,39,24.44961478973291,20.386975012076864
2019-09-30,SIMULADA,2019,40,18.916521714878787,51.566016925511356
2019-10-07,SIMULADA,2019,41,19.43980411601244,13.786798020124856
2019-10-14,SIMULADA,2019,42,19.829635134934296,34.740158285909274
2019-10-21,SIMULADA,2019,43,20.33326992732065,45.99664300508523
2019-10-28,SIMULADA,2019,44,19.45528077148946,31.019964587837713
2019-11-04,SIMULADA,2019,45,23.925966358339455,20.014119655812806
2019-11-11,SIMULADA,2019,46,20.48044738588327,10.004325164437645
2019-11-18,SIMULADA,2019,47,25.625031061957927,12.439491754573279
2019-11-25,SIMULADA,2019,48,18.100302161298696,12.58328659466917
2019-12-02,SIMULADA,2019,49,21.605342650647046,3.638257027003289
2019-12-09,SIMULADA,2019,50,25.91878584566544,20.8250712591229
2019-12-16,SIMULADA,2019,51,17.636183744297856,15.690875493608289
2019-12-23,SIMULADA,2019,52,23.853013002458063,6.917661167716087
2019-12-30,SIMULADA,2020,1,18.13192285480434,21.593592968096313
2020-01-06,SIMULADA,2020,2,19.880209343176908,7.992840924286138
2020-01-13,SIMULADA,2020,3,22.683952463302802,31.54494566881369
2020-01-20,SIMULADA,2020,4,21.85454622694069,9.159723308943274
2020-01-27,SIMULADA,2020,5,23.473201382119644,8.54134005183505
2020-02-03,SIMULADA,2020,6,25.923870226625766,35.359039271167234
2020-02-10,SIMULADA,2020,7,25.16403556078265,7.973775083870317
2020-02-17,SIMULADA,2020,8,27.907475930546603,25.735338704033126
2020-02-24,SIMULADA,2020,9,27.508069137600884,19.571874943548504
2020-03-02,SIMULADA,2020,10,17.9817526237819,18.089984748462825
2020-03-09,SIMULADA,2020,11,20.901928245733373,60.1613001884209
2020-03-16,SIMULADA,2020,12,16.29455532207721,32.46764299740191
2020-03-23,SIMULADA,2020,13,23.144272726032483,17.077082691987066
2020-03-30,SIMULADA,2020,14,18.00446241832085,7.37938245398672
2020-04-06,SIMULADA,2020,15,22.82510371473502,14.131374915696135
2020-04-13,SIMULADA,2020,16,21.48076721718221,26.64042897866333
2020-04-20,SIMULADA,2020,17,22.546122913499623,4.3514352524107105
2020-04-27,SIMULADA,2020,18,23.87810789416393,26.381714169936803
2020-05-04,SIMULADA,2020,19,22.949197991472403,30.739796475154442
2020-05-11,SIMULADA,2020,20,16.466502588042125,7.638938894037266
2020-05-18,SIMULADA,2020,21,24.513902826447822,22.334305426113726
2020-05-25,SIMULADA,2020,22,22.305424939896003,30.12076387789797
2020-06-01,SIMULADA,2020,23,19.402110818452698,7.9692354755095955
2020-06-08,SIMULADA,2020,24,24.253351482556372,3.205790717148778
2020-06-15,SIMULADA,2020,25,19.363378507180286,10.131574604893407
2020-06-22,SIMULADA,2020,26,19.33743063056874,35.37785717383555
2020-06-29,SIMULADA,2020,27,16.729417771665553,28.632916559985656
2020-07-06,SIMULADA,2020,28,25.787573984660938,18.40282080939886
2020-07-13,SIMULADA,2020,29,30.131629058226586,1.924373440901381
2020-07-20,SIMULADA,2020,30,23.395622786641887,18.490701900660696
2020-07-27,SIMULADA,2020,31,29.738327286909225,1.254556191729095
2020-08-03,SIMULADA,2020,32,21.351790401036798,25.425534559391572
2020-08-10,SIMULADA,2020,33,22.70155222789533,14.42051059020595
2020-08-17,SIMULADA,2020,34,18.46875030313398,23.684487244609585
2020-08-24,SIMULADA,2020,35,16.063679092318736,32.59394247544515
2020-08-31,SIMULADA,2020,36,21.526931886953594,37.663082596400976
2020-09-07,SIMULADA,2020,37,25.960764985815423,16.81994374271269
2020-09-14,SIMULADA,2020,38,19.550395014009226,4.921239160161491
2020-09-21,SIMULADA,2020,39,18.496371727796117,30.442924362680035
2020-09-28,SIMULADA,2020,40,26.9924357063525,15.206561294249026
2020-10-05,SIMULADA,2020,41,17.86198977372241,14.684009504239512
2020-10-12,SIMULADA,2020,42,17.4842119418286,28.663555520488625
2020-10-19,SIMULADA,2020,43,19.70063885379695,11.320336176391967
2020-10-26,SIMULADA,2020,44,20.379558758315042,10.222386874559895
2020-11-02,SIMULADA,2020,45,19.14285930502596,19.436988610811394
2020-11-09,SIMULADA,2020,46,21.661555158704463,34.220615387119494
2020-11-16,SIMULADA,2020,47,16.863371298175913,10.972311161915497
2020-11-23,SIMULADA,2020,48,21.990434228582497,5.14927426554035
2020-11-30,SIMULADA,2020,49,24.921547856148806,3.7536212260587183
2020-12-07,SIMULADA,2020,50,20.401176851797487,0.9582988707612295
2020-12-14,SIMULADA,2020,51,20.26378157719755,11.546453788302351
2020-12-21,SIMULADA,2020,52,26.892750257352247,11.975676823033885
2020-12-28,SIMULADA,2020,53,20.68118777153413,8.940743506403624
2021-01-04,SIMULADA,2021,1,20.75224654052642,28.702803159988495
2021-01-11,SIMULADA,2021,2,20.97194707501829,5.463527824662416
2021-01-18,SIMULADA,2021,3,23.50853219592184,5.440439743788589
2021-01-25,SIMULADA,2021,4,18.5667639034397,10.948613673551675
2021-02-01,SIMULADA,2021,5,18.866564980839744,4.182199119039827
2021-02-08,SIMULADA,2021,6,19.31174538272224,12.359089203089386
2021-02-15,SIMULADA,2021,7,24.748127604582827,31.942768482167562
2021-02-22,SIMULADA,2021,8,21.327531830922627,13.324221236011478
2021-03-01,SIMULADA,2021,9,20.983695332835236,10.148885505286858
2021-03-08,SIMULADA,2021,10,18.31914379867231,18.14424554976027
2021-03-15,SIMULADA,2021,11,22.10286119242325,18.539840834357403
2021-03-22,SIMULADA,2021,12,21.258277587130177,3.284534624249304
2021-03-29,SIMULADA,2021,13,23.514600725590327,9.566484157079005
2021-04-05,SIMULADA,2021,14,24.648580006825902,17.41165446090746
2021-04-12,SIMULADA,2021,15,17.375530013075565,29.977971254923865
2021-04-19,SIMULADA,2021,16,27.03486249337193,54.83642922597106
2021-04-26,SIMULADA,2021,17,22.548862166695148,5.730985590092857
2021-05-03,SIMULADA,2021,18,23.061421207125917,33.554149416516374
2021-05-10,SIMULADA,2021,19,16.825811922717012,3.467103378218837
2021-05-17,SIMULADA,2021,20,26.871431371530942,19.575486704780165
2021-05-24,SIMULADA,2021,21,24.652868134656078,22.515709317507913
2021-05-31,SIMULADA,2021,22,20.323345430131774,23.574248046895335
2021-06-07,SIMULADA,2021,23,22.5628726095063,14.317219869429191
2021-06-14,SIMULADA,2021,24,28.9181582514984,42.25819051361696
2021-06-21,SIMULADA,2021,25,20.808899671503884,32.320068958855536
2021-06-28,SIMULADA,2021,26,25.733165300617838,3.4849276506843796
2021-07-05,SIMULADA,2021,27,24.651229111557804,15.637285295651658
2021-07-12,SIMULADA,2021,28,23.668258551916715,14.342086710040977
2021-07-19,SIMULADA,2021,29,23.021380495101898,29.081938893635968
2021-07-26,SIMULADA,2021,30,21.18345634100327,9.758020921485096
2021-08-02,SIMULADA,2021,31,20.376377001882588,28.239550504884647
2021-08-09,SIMULADA,2021,32,27.798837113735864,3.6826732955758135
2021-08-16,SIMULADA,2021,33,22.616442110112835,16.153824413973446
2021-08-23,SIMULADA,2021,34,26.348282236663266,22.25282225803744
2021-08-30,SIMULADA,2021,35,21.975531645065704,51.54614628279573
2021-09-06,SIMULADA,2021,36,25.4262460922845,15.580410699956982
2021-09-13,SIMULADA,2021,37,23.169212681485842,9.95149634755265
2021-09-20,SIMULADA,2021,38,20.365245692102395,19.252322144002076
2021-09-27,SIMULADA,2021,39,22.48271557475464,26.971931786191114
2021-10-04,SIMULADA,2021,40,17.356859461634254,11.411618269877819
2021-10-11,SIMULADA,2021,41,18.773156099403167,28.583242102279428
2021-10-18,SIMULADA,2021,42,19.272669155270822,21.085502234140595
2021-10-25,SIMULADA,2021,43,19.30301990027224,41.3163310536551
2021-11-01,SIMULADA,2021,44,18.05992185037403,20.28894973875111
2021-11-08,SIMULADA,2021,45,20.057731285059777,10.847550236561606
2021-11-15,SIMULADA,2021,46,23.240502543432278,5.114842720533686
2021-11-22,SIMULADA,2021,47,19.396107694811594,2.6228036316162058
2021-11-29,SIMULADA,2021,48,25.13145016352699,58.27520850771454
2021-12-06,SIMULADA,2021,49,21.82917508080081,7.324382595094198
2021-12-13,SIMULADA,2021,50,18.252747413817893,8.052446770829016
2021-12-20,SIMULADA,2021,51,17.616736621197333,11.666666400973593
2021-12-27,SIMULADA,2021,52,20.137590108000367,55.529367029809166
2022-01-03,SIMULADA,2022,1,20.778839359500175,3.9860868352429946
2022-01-10,SIMULADA,2022,2,19.94745910672122,15.05812527348543
2022-01-17,SIMULADA,2022,3,18.847943330619717,23.377473106220457
2022-01-24,SIMULADA,2022,4,24.949478524966015,25.76895259510815
2022-01-31,SIMULADA,2022,5,23.345998749573816,12.19068320802018
2022-02-07,SIMULADA,2022,6,22.337954075138352,7.994513138036004
2022-02-14,SIMULADA,2022,7,23.112955674086894,44.00640017073577
2022-02-21,SIMULADA,2022,8,22.31795561230574,57.44883107354429
2022-02-28,SIMULADA,2022,9,26.07096880006246,21.444951276241895
2022-03-07,SIMULADA,2022,10,23.645073921724688,60.02493396769602
2022-03-14,SIMULADA,2022,11,20.447498492216447,6.736155392870144
2022-03-21,SIMULADA,2022,12,24.54490966723165,6.781355140937323
2022-03-28,SIMULADA,2022,13,25.090498855823256,63.72871039407027
2022-04-04,SIMULADA,2022,14,19.54634809359742,20.975923115468635
2022-04-11,SIMULADA,2022,15,15.043706350855132,31.64051506231535
2022-04-18,SIMULADA,2022,16,19.146580924445995,35.99673235593551
2022-04-25,SIMULADA,2022,17,24.833692725160944,10.695565453916203
2022-05-02,SIMULADA,2022,18,20.681682804041024,20.362048282388624
2022-05-09,SIMULADA,2022,19,27.374241611291765,20.20660719763184
2022-05-16,SIMULADA,2022,20,24.665926892884283,16.19192732721665
2022-05-23,SIMULADA,2022,21,21.80115264897575,38.93367786826923
2022-05-30,SIMULADA,2022,22,24.479404995017216,46.53998907006476
2022-06-06,SIMULADA,2022,23,25.008746430072797,24.549876523849534
2022-06-13,SIMULADA,2022,24,26.74011373244682,18.289420638002557
2022-06-20,SIMULADA,2022,25,22.515467630611717,23.202413372289598
2022-06-27,SIMULADA,2022,26,30.985538819023148,11.685010813710981
2022-07-04,SIMULADA,2022,27,23.64021224220129,16.732197831644122
2022-07-11,SIMULADA,2022,28,17.804317600100624,30.459001244161833
2022-07-18,SIMULADA,2022,29,15.241968191547608,72.2832836167293
2022-07-25,SIMULADA,2022,30,22.36601058303056,25.965487285812877
2022-08-01,SIMULADA,2022,31,23.10175383433846,14.245640260226953
2022-08-08,SIMULADA,2022,32,25.35381002006381,4.026559180380078
2022-08-15,SIMULADA,2022,33,25.958976797646883,31.625429002978166
2022-08-22,SIMULADA,2022,34,20.46815278269395,4.471500810772909
2022-08-29,SIMULADA,2022,35,15.652465486288826,34.595631602858866
2022-09-05,SIMULADA,2022,36,22.417704103527832,10.955061179964263
2022-09-12,SIMULADA,2022,37,24.125392622022886,15.84805478770157
2022-09-19,SIMULADA,2022,38,22.00285682300972,30.399844236774584
2022-09-26,SIMULADA,2022,39,23.754965517296803,36.33818899154186
2022-10-03,SIMULADA,2022,40,24.855022641276992,12.544278200715777
2022-10-10,SIMULADA,2022,41,23.951471687909574,30.290224946683505
2022-10-17,SIMULADA,2022,42,24.97898907461097,12.010017947331193
2022-10-24,SIMULADA,2022,43,21.784607565986185,53.539989759564065
2022-10-31,SIMULADA,2022,44,13.531371948015636,14.1184853244146
2022-11-07,SIMULADA,2022,45,19.150495665539204,2.3457310212139175
2022-11-14,SIMULADA,2022,46,25.240374515927417,49.77456989517936
2022-11-21,SIMULADA,2022,47,21.458195972584473,18.74124139143246
2022-11-28,SIMULADA,2022,48,24.72245448799549,18.417062863820526
2022-12-05,SIMULADA,2022,49,24.435454357769682,58.52077841824874
2022-12-12,SIMULADA,2022,50,23.907808019246588,32.37686430989885
2022-12-19,SIMULADA,2022,51,24.329252624128706,2.400363008200645
2022-12-26,SIMULADA,2022,52,19.057031562016103,9.31403266921248
2023-01-02,SIMULADA,2023,1,20.569085783785543,27.366764177886118
2023-01-09,SIMULADA,2023,2,22.582187260307858,26.968592857783563
2023-01-16,SIMULADA,2023,3,17.619106781769357,12.603233590429072
2023-01-23,SIMULADA,2023,4,23.079908606871637,25.95311198729698
2023-01-30,SIMULADA,2023,5,23.831362706086733,45.695541677228356
2023-02-06,SIMULADA,2023,6,31.408415069789882,26.45997440543368
2023-02-13,SIMULADA,2023,7,20.87010172933954,12.00484095157854
2023-02-20,SIMULADA,2023,8,21.456913488373214,10.98550329402379
2023-02-27,SIMULADA,2023,9,23.136537672264808,36.83976398763373
2023-03-06,SIMULADA,2023,10,19.789307166024035,16.18491769072258
2023-03-13,SIMULADA,2023,11,20.69010067745984,1.4968854163219016
2023-03-20,SIMULADA,2023,12,22.185911625602575,11.115653423912818
2023-03-27,SIMULADA,2023,13,21.825613705288994,13.26821044727754
2023-04-03,SIMULADA,2023,14,22.276994887827787,10.886975464328838
2023-04-10,SIMULADA,2023,15,25.702758496214372,36.78864842502498
2023-04-17,SIMULADA,2023,16,20.02295441578244,11.856048261741847
2023-04-24,SIMULADA,2023,17,26.053802409748613,33.90520469653929
2023-05-01,SIMULADA,2023,18,19.77796478573325,13.56540982018911
2023-05-08,SIMULADA,2023,19,22.627681845933047,72.65976054367056
2023-05-15,SIMULADA,2023,20,22.30486587038788,20.70396406931679
2023-05-22,SIMULADA,2023,21,24.830951783155424,11.187947001394274
2023-05-29,SIMULADA,2023,22,19.68288970880374,8.761689762363652
2023-06-05,SIMULADA,2023,23,26.294021437007146,23.62386566532466
2023-06-12,SIMULADA,2023,24,19.894186191235953,19.70869018623944
2023-06-19,SIMULADA,2023,25,19.05073752968905,37.200553535211526
2023-06-26,SIMULADA,2023,26,24.080808261236434,18.307158938974617
2023-07-03,SIMULADA,2023,27,21.856067670063833,19.361496717829073
2023-07-10,SIMULADA,2023,28,23.932397863775535,41.900189526179965
2023-07-17,SIMULADA,2023,29,24.59394237857444,20.044219483267266
2023-07-24,SIMULADA,2023,30,24.65556143828938,18.94558408664848
2023-07-31,SIMULADA,2023,31,20.77875613259371,7.224236368411232
2023-08-07,SIMULADA,2023,32,22.014528655877218,15.78908160038326
2023-08-14,SIMULADA,2023,33,19.16763287725124,4.746859372770503
2023-08-21,SIMULADA,2023,34,19.30614717595285,10.310001713419618
2023-08-28,SIMULADA,2023,35,22.059075757579663,28.899253893241635
2023-09-04,SIMULADA,2023,36,24.919605293961347,2.5302083097529926
2023-09-11,SIMULADA,2023,37,21.872310367483074,12.675922028104923
2023-09-18,SIMULADA,2023,38,28.4295084421205,70.79939434715232
2023-09-25,SIMULADA,2023,39,16.553674020153323,29.750136439475877
2023-10-02,SIMULADA,2023,40,20.57192979433362,6.8580498709132005
2023-10-09,SIMULADA,2023,41,19.313113639929128,41.490849016161064
2023-10-16,SIMULADA,2023,42,23.74918804455715,25.703940359899015
2023-10-23,SIMULADA,2023,43,22.40809873688367,19.734133901825842
2023-10-30,SIMULADA,2023,44,22.423402628209857,33.15297717765416
2023-11-06,SIMULADA,2023,45,17.071267388807424,18.039505947963118
2023-11-13,SIMULADA,2023,46,24.022321497090303,36.92601535053088
2023-11-20,SIMULADA,2023,47,26.107923113748697,38.61264975247076
2023-11-27,SIMULADA,2023,48,22.9947473010489,2.7596441563261473
2023-12-04,SIMULADA,2023,49,20.56613129882695,27.880335427802812
2023-12-11,SIMULADA,2023,50,16.234551810674247,19.310761912082
2023-12-18,SIMULADA,2023,51,22.946051074115612,24.447174485274395
2023-12-25,SIMULADA,2023,52,20.728497863209764,36.00199459105866
